Id,SalePrice
1461,111855.4746
1462,173736.8849
1463,193653.3539
1464,191502.2189
1465,212204.6161
1466,179170.0756
1467,178479.599
1468,172412.3385
1469,174511.1478
1470,132325.7529
1471,172602.3105
1472,93637.39457
1473,97831.53856
1474,139829.9541
1475,82311.01429
1476,350534.4931
1477,290770.0311
1478,300123.6407
1479,314665.4156
1480,448592.6156
1481,335962.5496
1482,217887.1368
1483,168123.5975
1484,149142.0353
1485,190423.9743
1486,191636.194
1487,348399.2797
1488,242619.1319
1489,201229.833
1490,249000.1987
1491,186089.7443
1492,97600.31188
1493,195540.4828
1494,344493.9815
1495,302326.846
1496,229676.3961
1497,172139.7057
1498,156822.2798
1499,156210.8704
1500,161238.0309
1501,204795.0105
1502,137782.6744
1503,312891.0594
1504,233925.1325
1505,223928.4404
1506,194460.2881
1507,245272.8827
1508,215664.1073
1509,150587.8455
1510,163904.1591
1511,165810.473
1512,180526.8637
1513,146693.0889
1514,152119.7214
1515,196161.5106
1516,155426.1097
1517,157421.7672
1518,117321.3741
1519,205029.8132
1520,144993.7642
1521,139653.2186
1522,200382.7385
1523,114885.5229
1524,116209.6431
1525,116060.3342
1526,117066.5889
1527,113729.1209
1528,112373.1729
1529,155356.5064
1530,193551.6701
1531,172733.235
1532,117400.0438
1533,158398.4274
1534,118859.7006
1535,139991.821
1536,103235.3986
1537,79705.68793
1538,133314.7459
1539,193297.123
1540,121369.4048
1541,122467.7764
1542,139272.3805
1543,166241.7853
1544,81393.71475
1545,121585.2126
1546,148191.5615
1547,135647.9937
1548,139148.9038
1549,132073.3706
1550,153943.3736
1551,124181.2893
1552,170777.96
1553,153651.2437
1554,117055.4612
1555,175780.7611
1556,86452.96147
1557,123626.8352
1558,89994.69498
1559,109334.942
1560,133768.0927
1561,101563.4197
1562,116205.2391
1563,129003.3231
1564,175214.1214
1565,147036.8963
1566,220517.4746
1567,69943.03316
1568,253479.1027
1569,156406.3623
1570,115051.6438
1571,105394.6293
1572,134967.5553
1573,217488.4477
1574,135638.4946
1575,218160.6298
1576,220970.4916
1577,173902.199
1578,149130.7161
1579,164231.7965
1580,196556.4401
1581,164450.4949
1582,130341.9073
1583,319594.6337
1584,224804.7607
1585,142041.0941
1586,50137.10404
1587,105248.5227
1588,147599.861
1589,94720.30344
1590,118256.0459
1591,101427.9642
1592,115075.997
1593,130188.6554
1594,124757.8957
1595,145078.9728
1596,223827.9291
1597,199635.6773
1598,202069.1047
1599,162312.1886
1600,155856.6232
1601,81446.26711
1602,119467.8274
1603,70874.13412
1604,272894.3067
1605,240958.6312
1606,162551.8308
1607,136089.9839
1608,235861.6752
1609,184797.8666
1610,178861.9946
1611,144126.215
1612,161762.1643
1613,171199.5777
1614,124208.8904
1615,78094.4319
1616,76647.50721
1617,83133.15309
1618,111648.0566
1619,130305.9583
1620,210564.0084
1621,129307.0424
1622,155838.4824
